08-13-2020 19:51:29.546 INFO  TestCases.TestRecipesPage - beforeClass - Application launched successfully
08-13-2020 19:51:29.603 INFO  main.utilities.WebEventListener - beforeClickOn - Trying to click on: [[ChromeDriver: chrome on MAC (b76c7c4fefe1c010d9b966b23f4737be)] -> xpath: //button[contains(.,'New Recipe')]]
08-13-2020 19:51:30.293 INFO  TestCases.TestRecipesPage - afterClass - Browser terminated
08-13-2020 19:51:30.294 INFO  TestCases.TestRecipesPage - afterClass - ----------------------------------------------
08-13-2020 19:51:33.126 INFO  TestCases.TestRecipesPage - beforeClass - Application launched successfully
08-13-2020 19:51:33.152 INFO  main.utilities.WebEventListener - beforeClickOn - Trying to click on: [[ChromeDriver: chrome on MAC (44fca1a989845b1f0131b489cf44581f)] -> xpath: //button[contains(.,'New Recipe')]]
08-13-2020 19:51:34.127 INFO  TestCases.TestRecipesPage - afterClass - Browser terminated
08-13-2020 19:51:34.128 INFO  TestCases.TestRecipesPage - afterClass - ----------------------------------------------
08-13-2020 19:51:36.706 INFO  TestCases.TestRecipesPage - beforeClass - Application launched successfully
08-13-2020 19:51:36.735 INFO  main.utilities.WebEventListener - beforeClickOn - Trying to click on: [[ChromeDriver: chrome on MAC (07e24953ec04b152f9785d9bdf6242be)] -> xpath: //button[contains(.,'New Recipe')]]
08-13-2020 19:51:37.692 INFO  TestCases.TestRecipesPage - afterClass - Browser terminated
08-13-2020 19:51:37.692 INFO  TestCases.TestRecipesPage - afterClass - ----------------------------------------------
08-13-2020 19:51:40.842 INFO  TestCases.TestRecipesPage - beforeClass - Application launched successfully
08-13-2020 19:51:40.873 INFO  main.utilities.WebEventListener - beforeClickOn - Trying to click on: [[ChromeDriver: chrome on MAC (d7e41164aca8994d06b54954b3844214)] -> xpath: //button[contains(.,'New Recipe')]]
08-13-2020 19:51:41.802 INFO  TestCases.TestRecipesPage - afterClass - Browser terminated
08-13-2020 19:51:41.803 INFO  TestCases.TestRecipesPage - afterClass - ----------------------------------------------
